:Device: PLUTO
:Location: vellore
:User: devmode2
:Mechanism: WFE
:Game: HAT-TRICK
:TrialType: SR85PCTRAIN
:TrialStartTime: 2026-09-10T11:31:08
:TrialNumberDay: 4
:AROM: [-3.80,6.28]
:PROM: [-53.42,67.20]
:APROM: [-52.42,64.02]
DeviceRunTime,PacketNumber,Status,DataType,ErrorStatus,ControlType,Calibration,Mechanism,Button,Angle,Torque,Desired,Control,ControlBound,ControlDir,Target,Error,ErrorDiff,ErrorSum,GamePlayerX,GamePlayerY,GameTargetX,GameTargetY,GameState,AanTargetPosition,AanInitialPosition,AanState,Annotation,Miscellaneous
10822.540000,9264,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.049263,-410.000122,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.545000,9265,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,71.046616,-410.000183,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.551000,9266,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.043823,-410.000061,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.556000,9267,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.040268,-410.000305,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.561000,9268,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.037132,-410.000366,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.567000,9269,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.033836,-410.000458,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.572000,9270,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.028954,-410.000641,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.577000,9271,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.025253,-410.000793,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.582000,9272,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.021393,-410.000977,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.588000,9273,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.017349,-410.001190,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.593000,9274,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.012260,-410.001526,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.598000,9275,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.007820,-410.001862,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,154.513,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.604000,9276,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,71.003197,-410.002228,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.609000,9277,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.997391,-410.002777,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.614000,9278,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.991310,-410.003448,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.620000,9279,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.986023,-410.004120,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.625000,9280,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.979424,-410.005066,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.630000,9281,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.973694,-410.005981,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.635000,9282,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.967758,-410.007050,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.641000,9283,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.961609,-410.008301,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.646000,9284,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.953949,-410.010040,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.651000,9285,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.945984,-410.012054,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.657000,9286,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.939095,-410.014038,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.662000,9287,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.930542,-410.016754,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.667000,9288,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.923164,-410.019379,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,167.961,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.673000,9289,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.915550,-410.022369,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.678000,9290,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.906113,-410.026459,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.683000,9291,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.897995,-410.030365,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.689000,9292,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.889633,-410.034760,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.694000,9293,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.877518,-410.041840,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.699000,9294,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.868576,-410.047638,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.704000,9295,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.859383,-410.054138,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.710000,9296,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.849937,-410.061401,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.715000,9297,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.838272,-410.071228,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.720000,9298,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.828278,-410.067627,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.726000,9299,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.818016,-410.090729,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.731000,9300,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.805359,-410.089172,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.736000,9301,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.792328,-410.103302,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,172.469,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.742000,9302,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.781174,-410.116425,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,188.097,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.747000,9303,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.767433,-410.134125,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,188.097,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.752000,9304,9,0,0,POSITIONAAN,1,WFE,1,71.078911,0.000000,70.755684,-410.150543,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,188.097,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.757000,9305,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.743660,-410.191864,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,188.097,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.763000,9306,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.731361,-410.188599,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,188.097,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
10822.768000,9307,9,0,0,POSITIONAAN,1,WFE,1,71.064842,0.000000,70.716240,-410.215454,1.000000,255,33.418877,0,0,0,1075.000,490.000,850.075,188.097,MOVE,33.419,71.079,ASSIST_TO_TARGET_AT_BOUNDARY,,
